id,name,choice,drafted,appeared,completed,lost
0,Break any Armor Piece,39,17,46,27,12
1,Break any Tool,50,22,59,38,19
2,Breed 4 Unique Animals,46,14,48,15,21
3,Breed 6 Unique Animals,46,13,46,12,8
4,Breed 8 Unique Animals,17,8,12,0,1
5,Breed Armadillos,18,5,12,3,1
6,Breed Camels,5,0,2,2,0
7,Breed Chickens,34,16,42,23,19
8,Breed Cows,31,25,50,29,21
9,Breed Foxes,11,0,4,0,0
10,Breed Frogs,7,1,4,1,1
11,Breed Goats,6,4,6,2,0
12,Breed Hoglins,46,16,30,16,4
13,Breed Pigs,41,21,48,21,22
14,Breed Rabbits,29,2,12,4,4
15,Breed Sheep,23,16,40,20,19
16,Breed Striders,34,11,23,11,8
17,Brew a Lingering Potion,16,6,14,2,4
18,Brew a Potion of Healing,19,8,12,2,1
19,Brew a Potion of Invisibility,22,16,20,8,2
20,Brew a Potion of Poison,19,10,14,5,0
21,Brew a Potion of Swiftness,18,13,20,11,0
22,Brew a Potion of Water Breathing,20,12,19,6,3
23,Brew a Potion of Weakness,21,9,20,10,0
24,Compost 3 Unique Foods,41,30,62,32,28
25,Compost 5 Unique Foods,50,32,57,25,24
26,Compost 7 Unique Foods,9,6,9,2,1
27,Construct a Copper Golem,31,9,28,9,13
28,Construct an Iron Golem,15,9,20,8,3
29,Craft 20 Unique Items,40,22,46,36,10
30,Craft 50 Unique Items,52,43,61,53,7
31,Craft 100 Unique Items,8,8,11,8,0
32,Deal 400 damage,39,24,47,22,21
33,Decorate Shield with Banner,48,28,60,32,28
34,Die by Drowning,33,6,19,5,14
35,Die by falling in Void,32,13,18,3,0
36,Die by falling off Vines,34,6,22,6,13
37,Die by Freezing,7,0,2,0,2
38,Die by Magic,3,0,2,0,2
39,Die to [Intentional Game Design],25,16,40,26,7
40,Die to Bee Sting,42,15,25,17,7
41,Die to Berry Bush,6,1,6,1,4
42,Die to Cactus,3,1,8,4,3
43,Die to falling Anvil,23,13,18,5,4
44,Die to Falling Stalactite,39,0,12,6,3
45,Die to Firework Rocket,38,12,30,18,8
46,Die to Iron Golem,31,11,32,12,19
47,Die to Polar Bear,5,0,3,1,1
48,Die to Pufferfish,13,0,4,2,0
49,Die to TNT Minecart,26,7,14,7,2
50,Die to Warden,4,1,2,1,0
51,Drink Honey Bottle,32,9,22,10,4
52,Drink Water Bottle,37,9,43,16,25
53,Duplicate Allay,0,0,0,0,0
54,Duplicate any Armor Trim,0,0,0,0,0
55,Eat 5 Unique Food,51,34,66,45,20
56,Eat 10 Unique Food,47,31,54,34,19
57,Eat 15 Unique Food,42,30,53,30,14
58,Eat 20 Unique Food,12,11,16,7,4
59,Eat 25 Unique Food,18,14,19,4,1
60,Eat a Glow Berry,43,8,34,9,7
61,Eat a Poisonous Potato,40,21,46,19,12
62,Eat a slice of Cake,49,15,23,12,4
63,Eat Beetroot Soup,4,3,4,1,1
64,Eat Cookie,30,16,42,20,13
65,Eat every type of Soup,8,1,2,1,0
66,Eat Pumpkin Pie,43,29,57,36,16
67,Eat Rabbit Stew,48,25,52,24,19
68,Eat Suspicious Stew,38,21,52,16,29
69,Empty Hunger Bar,49,5,40,12,28
70,Enrage Zombified Piglin,43,28,53,37,11
71,Enter Nether,52,30,43,29,12
72,Enter The End,50,38,45,16,0
73,Explode End Crystal,52,28,44,13,0
74,Feed Golden Dandelion to any Baby Mob,45,26,47,25,19
75,Fill a Decorated Pot,53,21,51,25,26
76,Fill an Armor Stand,40,16,38,27,9
77,Fill Campfire with 4 Food Items,60,26,56,33,23
78,Fill Chiseled Bookshelf,53,31,61,34,23
79,Fill Composter and get Bone Meal,52,33,60,36,24
80,Fill Inventory with unique items,45,40,54,48,6
81,Find a Stronghold,44,24,31,14,0
82,Fully charge a Respawn Anchor,45,30,44,19,5
83,Get 3 Status Effects at once,41,30,57,33,19
84,Get 4 Status Effects at once,30,23,47,26,17
85,Get 6 Status Effects at once,26,17,33,14,5
86,Get Absorption,37,24,53,29,16
87,Get Bad Omen,8,1,3,1,1
88,Get Glowing,48,29,54,35,8
89,Get Jump Boost,39,22,56,26,24
90,Get Mining Fatigue,1,1,3,1,2
91,Get Nausea,14,5,9,5,3
92,Get on Nether Roof,44,9,38,7,1
93,Get Poison,49,28,69,43,25
94,Get Weakness,49,19,48,21,10
95,Have your Shield disabled,55,39,59,33,20
96,Kill 7 Unique Hostile Mobs,47,29,60,35,18
97,Kill 10 Unique Hostile Mobs,47,26,54,23,12
98,Kill 13 Unique Hostile Mobs,12,8,11,2,1
99,Kill 15 Unique Hostile Mobs,5,2,5,1,1
100,Kill 20 Arthropods,43,7,28,6,7
101,Kill 30 Undead Mobs,42,12,36,11,12
102,Kill 100 mobs,47,14,36,19,4
103,Kill all Raid Mobs,5,0,1,0,0
104,Kill Bat,32,5,30,11,14
105,Kill Blue Sheep,3,1,4,3,1
